Mailing ID,MailingRefCode,URL Text,Date,Month,Day of Week,Time,Unique Click,Gross Clicks,CTR,CTOR
5656042,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/11/2009,September,Friday,12:17 PM,10,10,0.207813798836243%,1.16550116550117%
5656046,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/11/2009,September,Friday,1:26 PM,34,43,0.13764404609475%,1.31699846860643%
5656246,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/11/2009,September,Friday,4:00 PM,79,97,0.142197463900902%,1.519661601128%
5657315,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/14/2009,September,Monday,10:34 AM,1,2,0.337837837837838%,3.44827586206897%
5657333,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/14/2009,September,Monday,1:16 PM,37,47,0.0650654115041185%,0.979983319432861%
5657439,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/14/2009,September,Monday,9:00 PM,45,50,0.0722731346303952%,1.01010101010101%
5657636,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/15/2009,September,Tuesday,9:11 AM,2,4,0.814663951120163%,6.25%
5657638,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/15/2009,September,Tuesday,9:16 AM,1,1,0.204081632653061%,2.56410256410256%
5657641,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/15/2009,September,Tuesday,9:21 AM,1,2,0.407331975560081%,4.44444444444444%
5657656,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/15/2009,September,Tuesday,10:36 AM,43,48,0.0713690971809207%,0.872727272727273%
5657703,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/15/2009,September,Tuesday,4:00 PM,54,61,0.0905407210603654%,1.38730952922447%
5658461,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/15/2009,September,Tuesday,9:00 PM,56,64,0.0874030372555446%,1.18190212373038%
5658543,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/16/2009,September,Wednesday,2:00 AM,53,64,0.0899950783941503%,1.46152089518155%
5658844,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/16/2009,September,Wednesday,2:17 PM,38,44,0.0552791597567717%,1.17083555082491%
5659608,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/16/2009,September,Wednesday,5:00 PM,51,62,0.0742257180141029%,1.0016155088853%
5659743,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/16/2009,September,Wednesday,9:00 PM,3,3,0.0630384534566085%,0.77319587628866%
5661173,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/17/2009,September,Thursday,12:28 PM,1,1,0.206611570247934%,3.03030303030303%
5661182,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/17/2009,September,Thursday,1:46 PM,29,32,0.0449280449280449%,0.873839432004369%
5661189,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/17/2009,September,Thursday,4:00 PM,32,35,0.0486726279047129%,1.03580941106836%
5662878,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/18/2009,September,Friday,11:15 AM,1,1,0.3690036900369%,1.66666666666667%
5663234,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/18/2009,September,Friday,12:44 PM,1,1,0.204918032786885%,2.85714285714286%
5663298,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/18/2009,September,Friday,1:57 PM,35,41,0.0577603088063339%,1.03613848875411%
5663299,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/18/2009,September,Friday,2:02 PM,1,1,0.0271591526344378%,0.440528634361234%
5663527,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/18/2009,September,Friday,6:00 PM,35,42,0.0628714279298834%,1.13207547169811%
5669564,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/21/2009,September,Monday,12:26 PM,1,1,0.204498977505113%,2.7027027027027%
5669566,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/21/2009,September,Monday,1:00 PM,32,37,0.0577754875782702%,0.980132450331126%
5669793,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/21/2009,September,Monday,6:00 PM,55,63,0.0927985387912622%,1.20114394661582%
5671020,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/22/2009,September,Tuesday,9:45 AM,1,2,0.407331975560081%,3.7037037037037%
5671094,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/22/2009,September,Tuesday,10:40 AM,32,37,0.0473733403326377%,0.75402486244141%
5671477,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/22/2009,September,Tuesday,2:43 PM,45,62,0.0893526258142618%,1.38733497426717%
5672100,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/22/2009,September,Tuesday,6:00 PM,58,68,0.0824012699489839%,0.905821233515386%
5672483,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/22/2009,September,Tuesday,9:00 PM,34,36,0.0563027838598686%,1.02040816326531%
5673996,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/23/2009,September,Wednesday,11:49 AM,2,2,0.408997955010225%,4.8780487804878%
5673997,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/23/2009,September,Wednesday,12:16 PM,4,5,0.0127349600122256%,0.0584043920102792%
5673998,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/23/2009,September,Wednesday,12:40 PM,32,36,0.0550702911076777%,0.653001995283874%
5674010,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/23/2009,September,Wednesday,1:43 PM,6,7,0.0941113202473783%,1.31826741996234%
5674038,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/23/2009,September,Wednesday,6:00 PM,31,35,0.0548305735277991%,0.844187168355041%
5676232,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/24/2009,September,Thursday,11:23 AM,32,39,0.0581308689819645%,1.01298701298701%
5677180,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/24/2009,September,Thursday,1:09 PM,24,26,0.0408522405882723%,0.674099040705211%
5677701,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/24/2009,September,Thursday,7:00 PM,1,1,0.0170502983802217%,0.307692307692308%
5678940,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/25/2009,September,Friday,9:24 AM,1,1,0.202839756592292%,3.57142857142857%
5679256,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/25/2009,September,Friday,1:28 PM,22,22,0.0321369618884847%,0.628212450028555%
5679276,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/25/2009,September,Friday,5:00 PM,3,3,0.0364033491081179%,0.471698113207547%
5679281,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/25/2009,September,Friday,6:00 PM,35,40,0.0612932883849218%,0.73112776457686%
5684573,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,9:14 AM,9,9,0.0926021195596255%,1.25173852573018%
5684701,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,11:16 AM,33,37,0.0459884407432726%,0.559081293442128%
5684709,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,11:32 AM,20,22,0.0287225014687643%,0.536716272261527%
5684764,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,1:29 PM,7,8,0.0165813418450888%,0.393120393120393%
5684778,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,2:01 PM,7,7,0.0186115764005211%,0.52710843373494%
5684792,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,4:00 PM,9,9,0.0230680507497117%,0.340780007572889%
5684795,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,5:00 PM,7,7,0.0152465586339083%,0.238338440585632%
5685196,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,6:00 PM,5,5,0.011215540252574%,0.17247326664367%
5685199,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,7:00 PM,33,39,0.0853447709915312%,1.28373930217248%
5685407,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,8:00 PM,53,59,0.125869351879507%,1.74195453203425%
5685412,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/28/2009,September,Monday,10:00 PM,49,53,0.111967888454632%,1.54338963308096%
5686279,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/29/2009,September,Tuesday,1:35 PM,18,18,0.0420836060974469%,0.670640834575261%
5686427,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/29/2009,September,Tuesday,6:00 PM,14,17,0.0381902322864717%,0.678371907422187%
5686523,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/29/2009,September,Tuesday,8:00 PM,4,4,0.053248136315229%,0.706713780918728%
5687106,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/30/2009,September,Wednesday,10:38 AM,2,5,0.0734645900675874%,1.32978723404255%
5687108,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/30/2009,September,Wednesday,10:43 AM,24,25,0.0384325662193116%,0.734861845972957%
5687238,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/30/2009,September,Wednesday,12:42 PM,7,7,0.0176016495260127%,0.0824111137273369%
5687269,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",9/30/2009,September,Wednesday,8:00 PM,29,30,0.0437604842826927%,0.686655985351339%
5687593,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/1/2009,October,Thursday,10:01 AM,1,1,0.202020202020202%,1.88679245283019%
5687610,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/1/2009,October,Thursday,11:52 AM,12,13,0.019101074068088%,0.352781546811398%
5687738,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/1/2009,October,Thursday,1:59 PM,3,3,0.0710563713879678%,0.421940928270042%
5687746,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/1/2009,October,Thursday,4:00 PM,2,2,0.0243220235923629%,0.366300366300366%
5687757,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/1/2009,October,Thursday,8:00 PM,18,22,0.0340425531914894%,0.546719681908549%
5689685,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/2/2009,October,Friday,1:09 PM,1,1,0.0459558823529412%,0.209205020920502%
5691190,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/5/2009,October,Monday,12:27 PM,5,5,0.00837619151324276%,0.144634075788256%
5691223,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/5/2009,October,Monday,2:28 PM,5,6,0.00954061918618518%,0.191938579654511%
5691377,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/5/2009,October,Monday,7:00 PM,7,8,0.0125033211946923%,0.235710076605775%
5691751,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,11:55 AM,1,1,0.200803212851406%,2%
5691754,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,12:02 PM,1,2,0.403225806451613%,3.7037037037037%
5691757,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,12:18 PM,50,56,0.0739498461579093%,1.21845082680592%
5691758,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,12:20 PM,88,107,0.134002930531378%,1.45995360895074%
5691759,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,12:22 PM,19,19,0.206364722493755%,2.36024844720497%
5691764,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,1:10 PM,1,1,0.20703933747412%,0.306748466257669%
5691770,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,2:01 PM,3,3,0.0836586726157278%,0.187617260787992%
5691905,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,2:13 PM,4,5,0.292568753657109%,0.510725229826353%
5691921,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,2:14 PM,2,3,0.0800213390237397%,0.243111831442464%
5691924,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/6/2009,October,Tuesday,2:15 PM,2,2,0.0914494741655235%,0.282885431400283%
5692445,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/7/2009,October,Wednesday,12:41 PM,15,16,0.0319055595437505%,0.854244527495996%
5692475,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/7/2009,October,Wednesday,2:00 PM,8,8,0.0144102601051949%,0.468110005851375%
5692476,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/7/2009,October,Wednesday,2:22 PM,12,15,0.0361768323565589%,0.173490631505899%
5692477,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/7/2009,October,Wednesday,2:50 PM,10,14,0.0332021059621496%,0.772626931567329%
5692478,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/7/2009,October,Wednesday,2:57 PM,12,15,0.0325648039598802%,0.711912672045562%
5692479,no ID,"http://member.onmc.com/aa_home/tos.php#privacy",10/7/2009,October,Wednesday,3:00 PM,1,1,0.0192975685063682%,0.537634408602151%
